,title,director,cast,country,release_year,rating,budget,revenue,runtime,movie_id,genre,streaming
0,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton",,2016,TV-G,0.0,0.0,22.0,845322.0,"TV Movie,Animation,Adventure,",Disney+
1,Ernest Saves Christmas,John Cherry,"Jim Varney, Noelle Parker, Douglas Seale",,1988,PG,6000000.0,28202109.0,95.0,26386.0,"Comedy,Family,",Disney+
2,Ice Age: A Mammoth Christmas,Karen Disher,"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah",United States,2011,TV-G,0.0,0.0,26.0,79218.0,"Animation,Family,TV Movie,",Disney+
3,The Queen Family Singalong,Hamish Hamilton,"Darren Criss, Adam Lambert, Derek Hough, Alexander Jean, Fall Out Boy, Jimmie Allen",,2021,TV-PG,0.0,0.0,41.0,903296.0,"Music,",Disney+
4,Becoming Cousteau,Liz Garbus,"Jacques Yves Cousteau, Vincent Cassel",United States,2021,PG-13,0.0,244223.0,94.0,774823.0,"Documentary,",Disney+
5,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",United States,2008,G,5000000.0,0.0,55.0,27190.0,"Family,Adventure,Comedy,",Disney+
6,Adventure Thru the Walt Disney Archives,John Gleim,"Don Hahn, Kathryn Beaumont, Pete Docter, Kevin Feige, Mark Hamill, Bob Iger",,2020,TV-PG,0.0,0.0,60.0,719917.0,"Documentary,",Disney+
7,Puppy for Hanukkah,,,,2020,TV-G,0.0,0.0,0.0,969605.0,,Disney+
8,The Pixar Story,Leslie Iwerks,"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas",United States,2007,G,0.0,0.0,87.0,15302.0,"Documentary,",Disney+
9,America the Beautiful,,Michael B. Jordan,,2021,TV-PG,0.0,0.0,105.0,32630.0,"Documentary,",Disney+
10,Baymax!,,,,2021,TV-G,0.0,0.0,42.0,779451.0,"Animation,Action,TV Movie,",Disney+
11,Ciao Alberto,McKenna Harris,"Jack Dylan Grazer, Marco Barricelli",,2021,TV-PG,45223.0,0.0,7.0,876716.0,"Animation,Comedy,Family,Fantasy,",Disney+
12,Enchanted,Kevin Lima,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel, Susan Sarandon",United States,2007,PG,85000000.0,340487652.0,107.0,4523.0,"Comedy,Family,Fantasy,Romance,",Disney+
13,Feast,Patrick Osborne,"Stephen Apostolina, Kirk Baily, Ben Bledsoe, David Cowgill, Terri Douglas, Fuschia!",United States,2014,G,3200000.0,658573.0,95.0,10070.0,"Action,Horror,Thriller,Comedy,",Disney+
14,Frozen Fever,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Chris Williams",United States,2015,G,0.0,0.0,8.0,326359.0,"Animation,Family,Adventure,Comedy,",Disney+
15,Get a Horse!,Lauren MacMullan,"Walt Disney, Marcellite Garner, Russi Taylor, Billy Bletcher, Will Ryan, Bob Bergen",United States,2013,G,0.0,0.0,6.0,234567.0,"Animation,Family,Comedy,",Disney+
16,Home Sweet Home Alone,Dan Mazer,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, Kenan Thompson, Tim Simons",United States,2021,PG,0.0,0.0,93.0,654974.0,"Family,Comedy,Action,",Disney+
17,Jungle Cruise,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramirez, Jack Whitehall, Jesse Plemons, Paul Giamatti",United States,2021,PG-13,200000000.0,220889446.0,127.0,451048.0,"Action,Adventure,Fantasy,",Disney+
18,Limitless with Chris Hemsworth,,Chris Hemsworth,,2021,TV-14,,,,,,Disney+
19,Marvel Studios’ 2021 Disney+ Day Special,,,,2021,TV-PG,0.0,0.0,14.0,877188.0,"Documentary,",Disney+
20,Obi-Wan Kenobi,,,,2021,TV-PG,0.0,0.0,60.0,1015606.0,"Documentary,",Disney+
21,Paperman,John Kahrs,"John Kahrs, Kari Wahlgren",United States,2012,G,0.0,0.0,7.0,140420.0,"Animation,Family,Romance,",Disney+
22,Pixar 2021 Disney+ Day Special,,"Pete Docter, Larry the Cable Guy, Jack Dylan Grazer, Domee Shi, Angus MacLane",,2021,G,0.0,0.0,4.0,897298.0,"Documentary,",Disney+
23,Shang-Chi and The Legend of The Ten Rings,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Leung, Michelle Yeoh, Meng'er Zhang, Ben Kingsley","United States, Australia",2021,PG-13,150000000.0,432243292.0,132.0,566525.0,"Action,Adventure,Fantasy,",Disney+
24,Spin,Manjari Makijany,"Avantika, Michael Bishop, Anna Cathcart, Jahbril Cook, Kerri Medders, Aryan Simhadri",,2021,TV-G,0.0,0.0,93.0,734858.0,"TV Movie,Family,Drama,Music,",Disney+
25,Tangled Ever After,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Alan Dale, Paul F. Tompkins, Kari Wahlgren, Mark Allen Stewart",United States,2012,G,0.0,0.0,6.0,82881.0,"Animation,Comedy,Action,Family,",Disney+
26,The Ballad of Nessie,"Stevie Wermers-Skelton, Kevin Deters",Billy Connolly,,2011,G,0.0,0.0,6.0,76346.0,"Animation,Family,Fantasy,",Disney+
27,The Little Matchgirl,Roger Allers,,United States,2006,G,0.0,0.0,7.0,38580.0,"Animation,Drama,",Disney+
28,The Making of Happier Than Ever: A Love Letter to Los Angeles,David Clair,"Billie Eilish, FINNEAS, Gustavo Dudamel, Patrick Osborne, Robert Rodriguez",,2021,TV-PG,0.0,0.0,30.0,896834.0,"Documentary,Music,",Disney+
29,The Proud Family: Louder and Prouder,,"Kyla Pratt, Tommy Davidson, Paula Jai Parker, JoMarie Payton, Cedric the Entertainer",,2021,TV-G,,,,,,Disney+
30,The Simpsons in Plusaversary,David Silverman,"Dan Castellaneta, Nancy Cartwright, Yeardley Smith, Tress MacNeille, Hank Azaria",,2021,TV-PG,0.0,0.0,4.0,877183.0,"Animation,Comedy,Fantasy,",Disney+
31,Tick Tock Tale,Dean Wellins,,United States,2010,G,0.0,0.0,7.0,352812.0,"Animation,",Disney+
32,Under the Helmet: The Legacy of Boba Fett,,,,2021,TV-PG,0.0,0.0,21.0,877181.0,"Documentary,",Disney+
33,Willow,,,,2021,TV-PG,35000000.0,57269863.0,126.0,847.0,"Action,Adventure,Fantasy,",Disney+
34,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler, Jesse McCartney",United States,2011,G,75000000.0,342695435.0,87.0,55301.0,"Comedy,Fantasy,Family,Music,Animation,",Disney+
35,Jingle All The Way,Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, Robert Conrad, Martin Mull",United States,1996,PG,60000000.0,129832389.0,89.0,9279.0,"Family,Comedy,Adventure,",Disney+
36,Jingle All the Way 2,Alex Zamm,"Larry the Cable Guy, Brian Stepanek, Santino Marella, Kennedi Clements, Kirsten Robek, Rachel Hayward",United States,2014,PG,10000000.0,0.0,93.0,289728.0,"Family,Comedy,",Disney+
37,Prep & Landing: Operation Secret Santa,"Kevin Deters, Stevie Wermers-Skelton","Betty White, Dave Foley, Derek Richardson, Sarah Chalke, W. Morgan Sheppard",,2010,TV-G,0.0,0.0,22.0,26809.0,"Animation,Fantasy,Family,",Disney+
38,Santa Buddies: The Legend of Santa Paws,Robert Vince,"Christopher Lloyd, Danny Woodburn, Craig Anton, Michael Teigen, Ben Giroux, Paul Rae","United States, Canada",2009,G,0.0,0.0,88.0,24833.0,"Family,Adventure,",Disney+
39,Snow Buddies,Robert Vince,"Dominic Scott Kay, John Kapelos, Lise Simms, Mike Dopud, Charles C. Stevenson Jr., Dylan Minnette",United States,2008,G,4000000.0,50802372.0,87.0,14059.0,"Family,Adventure,",Disney+
40,Space Buddies,Robert Vince,"F.T. Anderson, Diedrich Bader, Field Cate, Kendall Cross, Mike Dopud, Mark Downey","United States, Canada",2009,G,0.0,0.0,84.0,14749.0,"Comedy,Adventure,Drama,Family,",Disney+
41,The Search for Santa Paws,Robert Vince,"Resse Alexander, Diedrich Bader, Sahar Biniaz, Jan Boss, Ameko Eks Mass Carroll, Melody Choi",Canada,2010,G,0.0,0.0,89.0,48844.0,"Family,Adventure,",Disney+
42,X-Men: First Class,Matthew Vaughn,"James McAvoy, Michael Fassbender, Rose Byrne, Jennifer Lawrence, January Jones, Nicholas Hoult","United States, United Kingdom",2011,PG-13,0.0,0.0,30.0,691677.0,"Documentary,",Disney+
43,Bob Ballard: An Explorer's Life,,,,2021,TV-PG,0.0,0.0,44.0,855941.0,"Documentary,",Disney+
44,"McFarland, USA",Niki Caro,"Kevin Costner, Maria Bello, Morgan Saylor, Martha Higareda, Michael Aguero, Sergio Avelar",United States,2015,PG,0.0,45710059.0,128.0,228203.0,"Drama,Family,",Disney+
45,Rookie of the Year,Daniel Stern,"Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton, Dan Hedaya, Eddie Bracken",United States,1993,PG,31000000.0,56500758.0,103.0,21845.0,"Family,Comedy,",Disney+
46,Thumbelina,"Don Bluth, Gary Goldman","Gino Conforti, Barbara Cook, Jodi Benson, Will Ryan, June Foray, Kenneth Mars","Ireland, United States, Canada, United Kingdom, Denmark, Spain, Poland, Hungary",1994,G,0.0,0.0,75.0,16418.0,"Animation,Family,",Disney+
47,Lost Cities with Albert Lin: The Great Flood,Jim Greayer,Dr. Albert Yu-Min Lin,,2021,TV-PG,0.0,0.0,45.0,879086.0,"Documentary,",Disney+
48,Megacity of the Maya Warriors,Ben Crichton,Albert Lin,,2021,TV-PG,,,,,,Disney+
49,Just Roll With It: You Decide Live!,,"Tobie Windham, Suzi Barrett, Ramon Reed, Kaylin Hayman, JC Currais, Raven-Symoné",,2019,G,0.0,0.0,51.0,882723.0,,Disney+
50,Mickey's Tale of Two Witches,Jeff Gordon,"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Daniel Ross, Tress MacNeille, Jim Cummings",,2021,TV-Y,0.0,0.0,46.0,864388.0,"Animation,",Disney+
51,Muppets Haunted Mansion,Kirk Thatcher,"Dave Goelz, Bill Barretta, Will Arnett, Taraji P. Henson, Yvette Nicole Brown, Darren Criss",,2021,TV-PG,0.0,0.0,52.0,826914.0,"Comedy,Family,TV Movie,",Disney+
