,title,director,cast,country,release_year,rating,budget,revenue,runtime,movie_id,genre,streaming
0,Feast,Patrick Osborne,"Stephen Apostolina, Kirk Baily, Ben Bledsoe, David Cowgill, Terri Douglas, Fuschia!",United States,2014,G,3200000.0,658573.0,95.0,10070.0,"Action,Horror,Thriller,Comedy,",Disney+
1,Bride of Boogedy,Oz Scott,"Richard Masur, Mimi Kennedy, Tammy Lauren, David Faustino, Joshua Rudoy, Leonard Frey",United States,1987,PG,0.0,0.0,90.0,47631.0,"Horror,Family,Comedy,TV Movie,",Disney+
2,Deep Blue,"Alastair Fothergill, Andy Byatt",Pierce Brosnan,"United Kingdom, Germany",2005,G,5000000.0,0.0,100.0,703745.0,"Action,Horror,Science Fiction,",Disney+
3,Don't Look Under the Bed,Kenneth Johnson,"Erin Chambers, Eric Hodges II, Eric Hodges, Robin Riker, Steve Valentine, Jake Sakson",United States,1999,PG,0.0,0.0,93.0,70772.0,"TV Movie,Family,Horror,Comedy,",Disney+
4,Float,Bobby Rubio,"Eli Fucile, Bobby Rubio, Luna Watson, Mika Kubo",United States,2019,PG,0.0,0.0,76.0,1038043.0,"Horror,",Disney+
5,Hounded,Neal Israel,"Tahj Mowry, Shia LaBeouf, Craig Kirkwood, Steven Bendik, Sara Paxton, Rachelle Carson",United States,2001,G,0.0,0.0,94.0,935999.0,"Horror,Action,Thriller,",Disney+
6,Mater and the Ghostlight,John Lasseter,"Larry the Cable Guy , Owen Wilson, Michael Wallis, Bonnie Hunt, Paul Newman, Cheech Marin",United States,2006,PG,0.0,0.0,7.0,13934.0,"Animation,Comedy,Family,Horror,",Disney+
7,Mom's Got a Date With a Vampire,Stephen Boyum,"Matthew O'Leary, Laura Vandervoort, Myles Jeffrey, Caroline Rhea, Charles Shaughnessy, Robert Carradine","Canada, United States",2000,PG,0.0,0.0,85.0,92208.0,"TV Movie,Comedy,Family,Fantasy,Horror,",Disney+
8,Mr. Boogedy,Oz Scott,"Richard Masur, Mimi Kennedy, Benjamin Gregory, David Faustino, Kristy Swanson, Howard Witt",United States,1986,PG,0.0,0.0,44.0,365351.0,"TV Movie,Horror,Adventure,Drama,",Disney+
9,Phantom of the Megaplex,Blair Treu,"Taylor Handley, Corinne Bohrer, Caitlin Wachs, Jacob Smith, Rich Hutchman, John Novak","United States, Canada",2000,G,0.0,0.0,89.0,26450.0,"Action,Comedy,Family,Mystery,Horror,",Disney+
