,title,budget,revenue,runtime,movie_id,genre
0,Dick Johnson Is Dead,0,0,89,653574,"Documentary,"
1,My Little Pony: A New Generation,0,4100000,91,597316,"Animation,Family,Fantasy,Comedy,Adventure,"
2,Sankofa,1000000,2691899,124,68351,"Drama,"
3,The Starling,0,0,103,468225,"Drama,"
4,Je Suis Karl,0,0,126,683641,"Drama,Thriller,"
5,Confessions of an Invisible Girl,0,0,91,786705,"Comedy,Drama,"
6,Europe's Most Dangerous Man: Otto Skorzeny in Spain,151105,0,68,683398,"Documentary,History,"
7,Intrusion,0,0,93,785752,"Thriller,"
8,Avvai Shanmughi,,,,,
9,Go! Go! Cory Carson: Chrissy Takes the Wheel,0,0,61,876576,"Animation,Family,"
10,Jeans,0,0,93,74659,"Drama,Comedy,"
11,Minsara Kanavu,0,0,145,79328,"Comedy,Romance,Drama,"
12,Grown Ups,80000000,271430189,102,38365,"Comedy,"
13,Dark Skies,3500000,25174316,97,145135,"Science Fiction,Thriller,Horror,"
14,Paranoia,35000000,13785015,106,115348,"Drama,Thriller,"
15,Ankahi Kahaniya,0,0,110,862701,"Drama,Romance,"
16,The Father Who Moves Mountains,0,0,108,840427,"Drama,Thriller,"
17,The Stronghold,14479740,0,105,637534,"Thriller,Action,Crime,"
18,Birth of the Dragon,0,6901965,103,408266,"Action,Drama,"
19,Jaws,7000000,470653000,124,578,"Horror,Thriller,Adventure,"
20,Jaws 2,20000000,187884007,116,579,"Horror,Thriller,"
21,Jaws 3,20500000,87987055,99,17692,"Thriller,Horror,"
22,Jaws: The Revenge,23000000,51881013,89,580,"Adventure,Thriller,Horror,"
23,My Heroes Were Cowboys,0,0,23,866529,"Documentary,"
24,Safe House,85000000,208076205,115,59961,"Action,Thriller,"
25,Training Day,45000000,104876233,122,2034,"Action,Crime,Drama,"
26,InuYasha the Movie 2: The Castle Beyond the Looking Glass,0,0,100,22537,"Action,Animation,Adventure,Fantasy,"
27,InuYasha the Movie 3: Swords of an Honorable Ruler,0,0,99,34295,"Animation,Fantasy,Adventure,"
28,InuYasha the Movie 4: Fire on the Mystic Island,0,0,88,34297,"Fantasy,Animation,Adventure,"
29,InuYasha the Movie: Affections Touching Across Time,10540,0,99,42360,"Action,Animation,Adventure,Fantasy,"
30,Naruto Shippuden the Movie: Blood Prison,0,0,108,75624,"Thriller,Animation,Action,Comedy,Horror,Mystery,"
31,Naruto Shippûden the Movie: Bonds,0,0,90,17581,"Fantasy,Animation,Action,"
32,Naruto Shippûden the Movie: The Will of Fire,0,8084148,95,36728,"Action,Adventure,Comedy,Drama,Fantasy,Animation,"
33,Naruto Shippuden: The Movie,29000000,0,94,20982,"Animation,Action,Fantasy,"
34,Naruto Shippuden: The Movie: The Lost Tower,0,0,85,50723,"Adventure,Action,Animation,"
35,Naruto the Movie 2: Legend of the Stone of Gelel,0,0,96,16910,"Animation,Adventure,Fantasy,"
36,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,25000000,0,95,18861,"Adventure,Animation,Action,"
37,Naruto the Movie: Ninja Clash in the Land of Snow,0,0,82,16907,"Comedy,Action,Animation,Adventure,"
38,Nightbooks,0,0,103,739990,"Fantasy,Family,Horror,"
39,Schumacher,0,0,112,855823,"Documentary,"
40,A StoryBots Space Adventure,0,0,12,874104,"Animation,Family,"
41,King of Boys,0,0,169,570465,"Drama,"
42,You vs. Wild: Out Cold,0,0,25,869589,"Action,Adventure,"
43,Little Singham - Black Shadow,0,0,47,874467,
44,Tughlaq Durbar,0,0,146,620637,"Drama,Comedy,"
45,Tughlaq Durbar (Telugu),,,,,
46,Firedrake the Silver Dragon,17830000,3175644,100,523366,"Animation,Family,Adventure,Fantasy,"
47,Kate,0,0,106,597891,"Action,"
48,Omo Ghetto: the Saga,0,0,110,790682,"Comedy,"
49,Prey,65000000,0,100,766507,"Thriller,Action,Science Fiction,"
50,Blood Brothers: Malcolm X & Muhammad Ali,0,0,95,861604,"Documentary,History,"
51,Paradise Hills,6000000,0,95,487083,"Fantasy,Science Fiction,Thriller,"
52,The Women and the Murderer,0,0,92,866127,"Documentary,Crime,"
53,JJ+E,0,0,90,726916,"Romance,Drama,"
54,Show Dogs,5500000,38830219,92,425148,"Adventure,Crime,Family,Comedy,"
55,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,0,0,94,502183,"Documentary,"
56,Untold: Breaking Point,0,0,79,862582,"Documentary,"
57,Shadow Parties,0,0,117,871229,"Action,Drama,Thriller,"
58,Angamaly Diaries,610000,3100000,132,442000,"Action,Comedy,Thriller,"
59,A Champion Heart,0,0,90,500705,"Family,"
60,Worth,0,0,118,649394,"History,Drama,"
61,Afterlife of the Party,0,0,109,785457,"Fantasy,Comedy,Drama,"
62,Anjaam,0,0,0,307369,
63,Bright Star,10000000,14374652,119,29963,"Drama,Romance,"
64,Dhanak,0,0,106,320873,"Drama,Comedy,"
65,Final Account,0,0,94,728125,"Documentary,"
66,Gurgaon,0,0,107,432140,"Crime,Thriller,"
67,Here and There,0,0,4,530169,"Animation,"
68,In the Cut,12000000,23726793,119,10944,"Drama,Mystery,Thriller,"
69,Shikara,0,0,118,661671,"Drama,Romance,"
70,A Cinderella Story,19000000,70067909,95,11247,"Comedy,Family,Romance,"
71,Agatha Christie's Crooked House,,,,,
72,An Unfinished Life,30000000,18618284,108,1947,"Drama,"
73,Barbie Big City Big Dreams,0,0,62,850818,"Animation,Music,Family,"
74,Blade Runner: The Final Cut,28000000,41722424,118,78,"Science Fiction,Drama,Thriller,"
75,Chappie,49000000,104399548,120,198184,"Crime,Action,Science Fiction,"
76,Clear and Present Danger,62000000,215887717,141,9331,"Action,Drama,Thriller,"
77,Cliffhanger,70000000,255000211,112,9350,"Action,Adventure,Thriller,"
78,Cold Mountain,79000000,173013509,154,2289,"Adventure,Drama,History,Romance,"
79,Crocodile Dundee in Los Angeles,21150000,39438674,95,9290,"Adventure,Comedy,"
80,Dear John,25000000,114977104,108,22971,"Drama,Romance,War,"
81,Do the Right Thing,6500000,37295445,120,925,"Drama,"
82,"El patrón, radiografía de un crimen",0,0,98,314572,"Drama,Crime,"
83,Extraction,65000000,0,116,545609,"Drama,Action,Thriller,"
84,Freedom Writers,21000000,43095175,123,1646,"Crime,Drama,"
85,Green Lantern,200000000,219851172,114,44912,"Adventure,Action,Thriller,Science Fiction,"
86,House Party,2500000,26386000,100,16094,"Comedy,Drama,"
87,House Party 2,0,0,94,16096,"Comedy,"
88,House Party 3,0,0,100,16097,"Comedy,"
89,I Got the Hook Up,0,0,93,40505,"Action,Comedy,"
90,In Too Deep,7000000,14011454,95,22314,"Drama,Action,Thriller,Crime,"
91,Initial D,1549000,7096000,107,16411,"Action,Crime,Thriller,Drama,"
92,Janoskians: Untold and Untrue,0,0,88,360220,"Comedy,"
93,Labyrinth,25000000,12729917,102,13597,"Adventure,Family,Fantasy,"
94,Letters to Juliet,30000000,82148538,105,37056,"Comedy,Drama,Romance,"
95,Level 16,0,15575,102,548066,"Science Fiction,Thriller,"
96,Love Don't Cost a Thing,0,21964072,100,21542,"Comedy,Drama,Family,Romance,"
97,Love in a Puff,0,0,104,41993,"Comedy,Drama,Romance,"
98,Mars Attacks!,70000000,101371017,106,75,"Comedy,Fantasy,Science Fiction,"
99,Marshall,30000000,105173115,111,9870,"Comedy,Romance,Drama,"
100,My Boss's Daughter,14000000,0,83,2830,"Comedy,Romance,"
101,Mystery Men,68000000,29762011,121,9824,"Adventure,Fantasy,Action,Comedy,Science Fiction,"
102,Once Upon a Time in America,30000000,5472914,229,311,"Drama,Crime,"
103,Open Season 2,0,8700000,76,13690,"Adventure,Animation,Comedy,Family,"
104,Osmosis Jones,75000000,13596911,95,12610,"Adventure,Animation,Action,Comedy,Family,"
105,Poseidon,160000000,181674817,98,503,"Adventure,Action,Drama,Thriller,"
106,Rhyme & Reason,0,0,0,835739,"Animation,"
107,Same Kind of Different as Me,0,6423605,119,300687,"Drama,"
108,School of Rock,35000000,131095990,110,1584,"Comedy,Music,Family,"
109,Snervous Tyler Oakley,0,0,82,370416,"Documentary,"
110,Tears of the Sun,75000000,86468162,121,9567,"War,Action,Drama,"
111,The Blue Lagoon,4500000,58853106,104,5689,"Romance,Adventure,"
112,The Golden Child,25000000,79817939,94,10136,"Action,Adventure,Comedy,"
113,The Guns of Navarone,6000000,28900000,158,10911,"War,Action,"
114,The Interview,44000000,12342632,113,228967,"Action,Comedy,"
115,The Nutty Professor,54000000,128769345,95,9327,"Fantasy,Comedy,Romance,Science Fiction,"
116,The Nutty Professor II: The Klumps,84000000,123307945,106,12107,"Fantasy,Comedy,Romance,Science Fiction,"
117,Welcome Home Roscoe Jenkins,35000000,43650785,114,13490,"Comedy,Drama,"
118,In the Line of Fire,40000000,176997168,128,9386,"Action,Drama,Thriller,Crime,Mystery,"
119,Untold: Crime & Penalties,0,0,85,857732,"Documentary,Crime,"
120,2 Alone in Paris,0,0,94,13741,"Comedy,"
121,Thimmarusu,0,0,127,805014,"Crime,Thriller,"
122,Wind River,11000000,44998252,107,395834,"Crime,Drama,Mystery,Thriller,"
123,C Kkompany,31000,0,130,20295,"Comedy,"
124,EMI: Liya Hai To Chukana Padega,0,0,128,15464,"Comedy,Crime,Drama,"
125,He's All That,0,0,91,347626,"Comedy,Romance,"
126,Koi Aap Sa,0,0,142,445685,"Romance,Comedy,Drama,"
127,Krishna Cottage,0,0,124,211105,"Thriller,Horror,Mystery,"
128,Kucch To Hai,0,0,142,383404,"Mystery,Horror,Thriller,Romance,"
129,Kyaa Kool Hai Hum,0,0,172,22429,"Comedy,"
130,Kyaa Kool Hain Hum 3,0,0,124,376884,"Comedy,"
131,Kyaa Super Kool Hain Hum,0,0,137,120101,"Drama,"
132,Kyo Kii... Main Jhuth Nahin Bolta,0,0,149,166233,"Comedy,"
133,"LSD: Love, Sex Aur Dhokha",0,0,108,35687,"Drama,Crime,"
134,Mission Istaanbul: Darr Ke Aagey Jeet Hai,,,,,
135,Once Upon a Time in Mumbaai,19000000,8300000,132,42966,"Drama,Thriller,Crime,"
136,Once Upon a Time in Mumbai Dobaara!,0,0,160,208540,"Action,Crime,Drama,"
137,Ragini MMS,0,0,93,66841,"Drama,Horror,Mystery,"
138,Ragini MMS 2,0,0,120,260266,"Horror,"
139,SAS: Rise of the Black Swan,0,0,120,595743,"Drama,Action,Thriller,"
140,Shootout at Lokhandwala,11000000,12000000,145,20742,"Action,Crime,Drama,History,"
141,Shor In the City,0,0,107,61203,"Crime,Drama,"
142,The Dirty Picture,2600000,17000000,144,81273,"Comedy,Drama,"
143,"Bob Ross: Happy Accidents, Betrayal & Greed",0,0,92,853354,"Documentary,"
144,Really Love,0,0,95,665894,"Romance,Drama,"
145,The November Man,15000000,32556119,108,254904,"Crime,Action,Thriller,"
146,The Old Ways,0,0,90,752505,"Horror,Fantasy,"
147,The River Runner,0,0,86,858054,"Documentary,Adventure,"
148,The Water Man,0,0,92,346687,"Adventure,"
149,Count Me In,0,0,81,783820,"Documentary,Music,"
150,Untold: Caitlyn Jenner,0,0,69,857731,"Documentary,"
151,Boomika,0,0,122,861818,"Mystery,Thriller,Horror,"
152,Boomika (Hindi),,,,,
153,Boomika (Malayalam),,,,,
154,Boomika (Telugu),,,,,
155,The Witcher: Nightmare of the Wolf,0,0,83,666243,"Animation,Action,Fantasy,"
156,Gunshot,0,0,91,655563,
157,Man in Love,0,0,5,973977,"Animation,"
