,title,budget,revenue,runtime,movie_id,genre
3131,CIA: Comrade in America,1400000,3900000,134,439601,"Action,Adventure,Romance,"
3132,Coffee for All,0,0,0,789731,"Documentary,"
3133,Darc,0,0,97,521647,"Action,Thriller,"
3134,Despido Procedente,0,0,90,438639,"Comedy,"
3135,John Mulaney: Kid Gorgeous at Radio City,0,0,65,520594,"Comedy,"
3136,My Perfect Romance,0,0,91,503403,"Romance,TV Movie,"
3137,Pocoyo & Cars,0,0,49,153952,"Animation,"
3138,Pocoyo & The Space Circus,0,0,49,153952,"Animation,"
3139,Pocoyo Carnival,,,,,
3140,Pocoyo Halloween: Space Halloween,,,,,
3141,Pocoyo Halloween: Spooky Movies,,,,,
3142,Pocoyo Special Sports,0,0,24,686175,"Animation,"
3143,Sometimes,0,0,97,27769,"Horror,TV Movie,"
3144,The Clapper,0,0,89,422615,"Comedy,"
3145,Toc Toc,0,0,90,437033,"Comedy,"
3146,Running Shaadi,0,0,114,442247,"Comedy,Romance,"
3147,The Price of Success,0,0,50,600095,
3148,Candy Jar,0,0,92,507143,"Comedy,"
3149,Holy Goalie,0,0,95,437310,"Comedy,"
3150,The Rachel Divide,0,0,104,510073,"Documentary,"
3151,The Week Of,0,0,116,465109,"Comedy,"
3152,Enissa Amani: Ehrenwort,0,0,65,520587,"Comedy,"
3153,Bill Nye: Science Guy,0,0,95,438468,"Documentary,"
3154,Fishtronaut: The Movie,0,0,88,456635,"Animation,Adventure,Family,"
3155,Psychokinesis,0,0,101,452015,"Fantasy,Action,"
3156,Kevin James: Never Don't Give Up,0,0,62,519804,"Comedy,"
3157,Dude,0,0,90,399131,"Comedy,"
3158,Kodachrome,0,0,105,419635,"Drama,Comedy,"
3159,Mercury 13,0,0,79,511791,"Documentary,"
3160,All The Reasons To Forget,0,0,90,478650,"Comedy,Drama,Romance,"
3161,Beyond Skyline,20000000,992181,105,271404,"Action,Science Fiction,Adventure,Horror,"
3162,Come Sunday,0,0,106,430446,"Drama,"
3163,I Am not an Easy Man,0,0,98,515841,"Comedy,Fantasy,"
3164,Pickpockets,0,0,100,517829,"Drama,Thriller,Crime,"
3165,Greg Davies: You Magnificent Beast,0,0,66,516341,"Comedy,"
3166,6 Balloons,0,0,75,500634,"Drama,"
3167,Amateur,0,0,96,515333,"Drama,"
3168,Orbiter 9,0,0,95,437311,"Drama,Science Fiction,Romance,"
3169,"Ram Dass, Going Home",0,0,31,491104,"Documentary,"
3170,Seth Rogen's Hilarity for Charity,0,0,70,516525,"Comedy,"
3171,Sun Dogs,0,0,93,403068,"Drama,Comedy,"
3172,Todo lo que sería Lucas Lauriente,0,0,78,516535,"Comedy,"
3173,Day of the Dead: Bloodline,8000000,0,90,485415,"Action,Horror,"
3174,Fary Is the New Black,0,0,74,516038,"Comedy,"
3175,Ittefaq,0,0,104,166874,"Crime,Mystery,Thriller,"
3176,A Sort of Family,0,0,95,444404,"Drama,Crime,Thriller,"
3177,Billu,0,0,0,319957,
3178,John Mulaney: New in Town,0,0,58,86705,"Comedy,"
3179,Main Hoon Na,0,0,179,14134,"Drama,"
3180,Metro,55000000,31987563,117,8860,"Action,Adventure,Comedy,Crime,Thriller,"
3181,Om Shanti Om,9100000,37707444,162,8079,"Comedy,Thriller,Drama,"
3182,Paheli,0,0,145,334875,"Romance,Music,Thriller,"
3183,Phir Bhi Dil Hai Hindustani,0,0,160,97351,"Romance,Comedy,"
3184,Revolt,4000000,24416,87,313943,"Science Fiction,Action,"
3185,First Match,0,0,94,502122,"Drama,"
3186,Happy Anniversary,0,0,78,451563,"Romance,Comedy,"
3187,Sofía Niño de Rivera: Selección Natural,0,0,61,515347,"Comedy,"
3188,The Titan,0,2635408,97,476926,"Science Fiction,Thriller,"
3189,Trailer Park Boys: Countdown to Liquor Day,3500000,0,101,27561,"Comedy,Crime,"
3190,Trailer Park Boys: The Movie,5000000,3833507,95,9958,"Comedy,"
3191,Birdshot,0,0,116,434376,"Thriller,Drama,Mystery,"
3192,"Game Over, Man!",0,0,100,456750,"Action,Comedy,"
3193,Layla M.,0,0,98,411038,"Drama,"
3194,Paradox,3500000,0,75,183011,"Science Fiction,Animation,Action,Adventure,"
3195,Roxanne Roxanne,0,0,98,426257,"Drama,"
3196,Secret Superstar,286284,137416709,150,441889,"Drama,Music,"
3197,Benji,6000000,585333,87,495193,"Crime,Drama,Family,"
3198,Take Your Pills,0,0,90,1049046,"Documentary,"
3199,Yoo Byung Jae: Too Much Information,0,0,63,512153,"Comedy,"
3200,In This Corner of the World,0,19496308,130,378108,"Drama,Animation,Romance,War,History,"
3201,Jag älskar dig: En skilsmässokomedi,0,0,98,417015,"Comedy,Drama,"
3202,The Art of Loving,0,0,121,432025,"Drama,Comedy,Romance,"
3203,Steel Rain,0,32783733,139,435841,"Action,Thriller,"
3204,Ricky Gervais: Humanity,0,0,79,508933,"Comedy,"
3205,Stretch Armstrong: The Breakout,0,0,45,511911,"Family,Animation,"
3206,The Outsider,0,0,120,199928,"Crime,Drama,Mystery,"
3207,Ladies First,450000,0,39,492184,"Documentary,"
3208,Bullet Head,0,87465,93,480572,"Drama,Crime,Thriller,"
3209,Gad Elmaleh: American Dream,0,0,57,506767,"Comedy,"
3210,Expedition China,0,0,78,526145,"Documentary,"
3211,Malena Pichot: Estupidez compleja,0,0,50,503877,"Comedy,"
3212,Natalia Valdebenito: El especial,0,0,76,502875,"Comedy,"
3213,Ravenous,12000000,0,101,10212,"Horror,Western,Adventure,"
3214,Adel Karam: Live from Beirut,0,0,59,508864,"Comedy,"
3215,Battle Drone,3500000,0,93,508648,"Science Fiction,"
3216,Dil Se,0,0,0,460995,
3217,Guru,0,0,91,9027,"Comedy,Romance,"
3218,Judwaa 2,10000000,34500000,150,456565,"Action,Comedy,Romance,"
3219,Love Beats Rhymes,0,0,105,376658,"Music,Drama,"
3220,Schubert In Love,0,0,94,415914,"Comedy,"
3221,Shubh Aarambh,0,0,126,509997,"Comedy,Drama,Family,"
3222,Something Huge,0,0,86,395807,"Comedy,"
3223,Swades,2900000,4800000,189,15774,"Drama,"
3224,Swearnet Live,0,0,75,365037,"Comedy,"
3225,Trailer Park Boys Live at the North Pole,0,0,88,303742,"TV Movie,Comedy,"
3226,Trailer Park Boys Live In F**kin' Dublin,0,0,81,274326,"Comedy,"
3227,Trailer Park Boys: Say Goodnight to the Bad Guys,0,0,60,26461,"Comedy,"
3228,Trailer Park Boys: Xmas Special,0,0,57,217720,"Comedy,TV Movie,"
3229,Tu Hai Mera Sunday,0,0,119,413771,"Drama,Comedy,"
3230,Yuva,0,0,119,538105,"Drama,"
3231,반드시 잡는다,0,0,110,488621,"Thriller,Crime,"
3232,Derren Brown: The Push,0,0,70,377319,"Documentary,TV Movie,"
3233,Marlon Wayans: Woke-ish,0,0,68,507729,"Comedy,"
3234,Veronica,0,0,105,441701,"Horror,"
3235,Mute,0,0,126,401371,"Science Fiction,Mystery,Thriller,"
3236,Forgotten,42000000,117592831,91,10145,"Thriller,Drama,Mystery,Science Fiction,"
3237,FullMetal Alchemist,0,0,143,960704,"Action,Adventure,Fantasy,"
3238,Agustín Aristarán: Soy Rada,0,0,60,506246,"Comedy,"
3239,Irreplaceable You,10000000,0,96,450489,"Comedy,Romance,Drama,"
3240,Chris Rock: Tamborine,0,0,64,505159,"Comedy,"
3241,Love Per Square Foot,0,0,133,505175,"Comedy,Romance,"
3242,Seeing Allred,0,0,96,490818,"Documentary,"
3243,The Ritual,1000000,1786396,94,433808,"Horror,Thriller,Mystery,"
3244,The Trader (Sovdagari),,,,,
3245,When We First Met,10000000,0,97,433310,"Comedy,Romance,Fantasy,"
3246,Fred Armisen: Standup For Drummers,0,0,65,502616,"Music,Comedy,"
3247,The Cloverfield Paradox,45000000,0,102,384521,"Horror,Science Fiction,Action,Thriller,"
3248,Kavin Jay: Everybody Calm Down!,0,0,53,502483,"Comedy,Documentary,"
3249,On Body and Soul,0,0,116,436343,"Drama,Romance,Fantasy,"
